,category,lat,lng,name,rating,reviews,yelpid
20,french,43.6604974735,-79.4319278374,COO Café Bread or Rice,4.5,38,coo-café-bread-or-rice-toronto
21,french,43.6719213,-79.388922,Café Boulud,3.5,167,café-boulud-toronto
22,french,43.6428452,-79.4016711,Colette Grand Cafe,3.5,171,colette-grand-cafe-toronto
23,french,43.67506,-79.40025,Le Paradis Brasserie Bistro,3.5,69,le-paradis-brasserie-bistro-toronto
24,french,43.68157,-79.4274499,Pain Perdu,3.5,50,pain-perdu-toronto-2
25,french,43.66678,-79.34733,Batifole Restaurant,4.0,47,batifole-restaurant-toronto
26,french,43.6688945458,-79.3925454417,La Societe - Toronto,3.0,272,la-societe-toronto-toronto
27,french,43.64843,-79.37327,Le Papillon On Front,3.5,114,le-papillon-on-front-toronto-2
28,french,43.6483797133,-79.3931475329,Cafe Jules,4.0,13,cafe-jules-toronto-2
29,french,43.6505879,-79.3578962,Cluny Bistro & Boulangerie,3.5,305,cluny-bistro-and-boulangerie-toronto-2
30,french,43.64904,-79.4203,Restaurant La Banane,4.0,25,restaurant-la-banane-toronto
31,french,43.6493079441,-79.3893122699,The Fifth Grill & Terrace,4.0,44,the-fifth-grill-and-terrace-toronto
32,french,43.6584783,-79.3854255,Somethin' 2 Talk About,4.0,52,somethin-2-talk-about-toronto
